request_id,phase_type,t_start,t_end,prefill_tokens,decode_tokens
cmpl-d044647eaedb49cb813a6e32402a5c5a,prefill,0.0,0.06824231147766113,3246,0
cmpl-d044647eaedb49cb813a6e32402a5c5a,decode,0.06824231147766113,6.802931785583496,0,956
cmpl-abd1516b5f414ef7a13b4b43462e6660,prefill,2.273324728012085,2.3524672985076904,3722,0
cmpl-abd1516b5f414ef7a13b4b43462e6660,decode,2.3524672985076904,9.767682313919067,0,1024
cmpl-44343744f30a45168479f6c098e4bc5e,prefill,4.552449464797974,4.655280113220215,4509,0
cmpl-44343744f30a45168479f6c098e4bc5e,decode,4.655280113220215,12.07128620147705,0,1024
cmpl-fe375b7263f646fa96da3a8485e54157,prefill,6.828739643096924,6.924626111984253,4100,0
cmpl-fe375b7263f646fa96da3a8485e54157,decode,6.924626111984253,12.905883550643921,0,833
cmpl-8d13bf63762249b4ac4b8a535b2af573,prefill,9.104532718658447,9.183657169342041,3747,0
cmpl-8d13bf63762249b4ac4b8a535b2af573,decode,9.183657169342041,14.562901020050049,0,747
cmpl-d6a3dbfe3f2e4ecb8dadb9b4cdb7c35b,prefill,11.37733793258667,11.405449867248535,878,0
cmpl-d6a3dbfe3f2e4ecb8dadb9b4cdb7c35b,decode,11.405449867248535,16.685716152191162,0,721
cmpl-8589650f51324bebb69ef63e934e5738,prefill,13.663830995559692,13.789835691452026,5198,0
cmpl-8589650f51324bebb69ef63e934e5738,decode,13.789835691452026,21.26462435722351,0,1024
cmpl-c273c8b3c2f8487c974fed9b53d66b46,prefill,15.944501876831055,16.11427354812622,7168,0
cmpl-c273c8b3c2f8487c974fed9b53d66b46,decode,16.11427354812622,23.551915645599365,0,1024
cmpl-74844d2e9cc74feb94b00cc2d6574711,prefill,18.200793504714966,18.283788204193115,3594,0
cmpl-74844d2e9cc74feb94b00cc2d6574711,decode,18.283788204193115,24.542133808135986,0,867
cmpl-41dcd70fd54c45d0b9a4aa535490f7bc,prefill,25.037712574005127,25.17211365699768,5640,0
cmpl-41dcd70fd54c45d0b9a4aa535490f7bc,decode,25.17211365699768,26.227177143096924,0,151
cmpl-7405a4232c3842ac8c3290dcfb101bcd,prefill,20.477099180221558,20.526974201202393,2312,0
cmpl-7405a4232c3842ac8c3290dcfb101bcd,decode,20.526974201202393,27.911808967590332,0,1024
cmpl-07ee4863067d4a68a27eb1b7fc2c78be,prefill,22.757603406906128,22.815407276153564,2597,0
cmpl-07ee4863067d4a68a27eb1b7fc2c78be,decode,22.815407276153564,30.199406623840332,0,1024
cmpl-7d72ef60ff694043b28ec45dd6d5b7f8,prefill,27.306482553482056,27.347594499588013,1660,0
cmpl-7d72ef60ff694043b28ec45dd6d5b7f8,decode,27.347594499588013,34.78908681869507,0,1024
cmpl-a18d83a22e5a4dbeb8284ba1ae4c8e1b,prefill,29.59007501602173,29.73751449584961,6001,0
cmpl-a18d83a22e5a4dbeb8284ba1ae4c8e1b,decode,29.73751449584961,37.18536448478699,0,1024
cmpl-20dfee375cb74b05b2a38a9a3bc7b64e,prefill,31.85166597366333,31.907576322555542,2699,0
cmpl-20dfee375cb74b05b2a38a9a3bc7b64e,decode,31.907576322555542,37.57679533958435,0,772
cmpl-b6b07bf24aa04e5b803dc366226cb876,prefill,36.40604615211487,36.44266676902771,1428,0
cmpl-b6b07bf24aa04e5b803dc366226cb876,decode,36.44266676902771,39.70079231262207,0,457
cmpl-defcf8d735d64d78a48e6acfe2f4311a,prefill,34.144137382507324,34.313342809677124,7168,0
cmpl-defcf8d735d64d78a48e6acfe2f4311a,decode,34.313342809677124,41.7333402633667,0,1024
cmpl-7c93547a2e354dbba664fe1a37850155,prefill,38.682512521743774,38.73987054824829,2681,0
cmpl-7c93547a2e354dbba664fe1a37850155,decode,38.73987054824829,46.23168206214905,0,1024
cmpl-4c53f574c947481ba0067aabbf1a9714,prefill,43.236308574676514,43.355570793151855,5161,0
cmpl-4c53f574c947481ba0067aabbf1a9714,decode,43.355570793151855,46.9316086769104,0,491
cmpl-7c4605336b2545469b75202b632917f4,prefill,40.955642223358154,41.08058214187622,5262,0
cmpl-7c4605336b2545469b75202b632917f4,decode,41.08058214187622,48.55160069465637,0,1024
cmpl-8ebf5c9ddf0f4b52b481faa183f42230,prefill,45.502254009246826,45.60966515541077,4508,0
cmpl-8ebf5c9ddf0f4b52b481faa183f42230,decode,45.60966515541077,48.866583585739136,0,453
cmpl-831d794aff5f4f1d87c03b2d808d009e,prefill,50.0600368976593,50.175087690353394,4654,0
cmpl-831d794aff5f4f1d87c03b2d808d009e,decode,50.175087690353394,56.961989402770996,0,979
cmpl-d8330103e8494370a4218d811269862f,prefill,52.33431434631348,52.400824308395386,3195,0
cmpl-d8330103e8494370a4218d811269862f,decode,52.400824308395386,59.44131350517273,0,1024
cmpl-b5973bf9ce15415aa465b3cc2d04f0a8,prefill,54.59726548194885,54.60506200790405,2,0
cmpl-b5973bf9ce15415aa465b3cc2d04f0a8,decode,54.60506200790405,61.42402744293213,0,1001
cmpl-3865cee51dc54cea8e24b68e45195747,prefill,66.1235101222992,66.23960638046265,4619,0
cmpl-3865cee51dc54cea8e24b68e45195747,decode,66.23960638046265,68.15953731536865,0,276
cmpl-6c13441306494c16a197196a8dd06986,prefill,64.56391382217407,64.57413721084595,257,0
