request_id,phase_type,t_start,t_end,prefill_tokens,decode_tokens
cmpl-17a03b567dc44eab82899828289f0b8a,prefill,0.0,0.031184911727905273,4509,0
cmpl-17a03b567dc44eab82899828289f0b8a,decode,0.031184911727905273,3.3669254779815674,0,1024
cmpl-7ef8dc1eefe74268956550e772b2ecf2,prefill,1.3492233753204346,1.3691675662994385,3246,0
cmpl-7ef8dc1eefe74268956550e772b2ecf2,decode,1.3691675662994385,4.530332565307617,0,956
cmpl-061aff857abe44e2b0e5b8d2a61c481c,prefill,2.703897476196289,2.749208450317383,5198,0
cmpl-061aff857abe44e2b0e5b8d2a61c481c,decode,2.749208450317383,6.157394886016846,0,1024
cmpl-f73908f133d4402fb44c59d2c4f9cf81,prefill,4.049365282058716,4.067814588546753,2312,0
cmpl-f73908f133d4402fb44c59d2c4f9cf81,decode,4.067814588546753,7.483283042907715,0,1024
cmpl-06d1338c5ae34d0787739c409fabd975,prefill,5.4104039669036865,5.45771050453186,7168,0
cmpl-06d1338c5ae34d0787739c409fabd975,decode,5.45771050453186,8.870873212814331,0,1024
cmpl-7b3bfe0cad3d42e5a0cb5c1d9965acdb,prefill,6.750779151916504,6.772133111953735,878,0
cmpl-7b3bfe0cad3d42e5a0cb5c1d9965acdb,decode,6.772133111953735,9.157366275787354,0,721
cmpl-383a46cdf677455ca7f6acf2085ac01a,prefill,8.108362197875977,8.134679794311523,3722,0
cmpl-383a46cdf677455ca7f6acf2085ac01a,decode,8.134679794311523,11.521920680999756,0,1024
cmpl-0bf30b6541964af7a77afac94cd45893,prefill,9.460631608963013,9.484210014343262,3747,0
cmpl-0bf30b6541964af7a77afac94cd45893,decode,9.484210014343262,11.948010921478271,0,747
cmpl-2739f1d4bd494d2aaaeef7fe59fb5975,prefill,10.817584753036499,10.863525867462158,6001,0
cmpl-2739f1d4bd494d2aaaeef7fe59fb5975,decode,10.863525867462158,14.229485988616943,0,1024
cmpl-05280e76ce4c470b9d59bd19622c6bfe,prefill,12.162720203399658,12.181825160980225,2699,0
cmpl-05280e76ce4c470b9d59bd19622c6bfe,decode,12.181825160980225,14.694437026977539,0,772
cmpl-8fdba794b31d4396b2a50ca14836b868,prefill,14.854123830795288,14.873316287994385,1428,0
cmpl-8fdba794b31d4396b2a50ca14836b868,decode,14.873316287994385,16.340405464172363,0,457
cmpl-d5fbb28ca73e448ba08907a5c678b3af,prefill,13.50599193572998,13.520469665527344,1660,0
cmpl-d5fbb28ca73e448ba08907a5c678b3af,decode,13.520469665527344,16.836166381835938,0,1024
cmpl-b52bbdff803344cb96528c8b841b5013,prefill,17.56534767150879,17.607868671417236,5640,0
cmpl-b52bbdff803344cb96528c8b841b5013,decode,17.607868671417236,18.092548847198486,0,151
cmpl-f63388e9ab1847e3b3d0633a89b103e9,prefill,16.2136652469635,16.24157214164734,4100,0
cmpl-f63388e9ab1847e3b3d0633a89b103e9,decode,16.24157214164734,18.93012046813965,0,833
cmpl-7bbfacd92d3d48f583d72990c2840638,prefill,18.912517786026,18.928995847702026,2681,0
cmpl-7bbfacd92d3d48f583d72990c2840638,decode,18.928995847702026,22.25667381286621,0,1024
cmpl-0366176c2e0d4ccb89a146fed1237b10,prefill,20.267021417617798,20.29060983657837,3594,0
cmpl-0366176c2e0d4ccb89a146fed1237b10,decode,20.29060983657837,23.18988823890686,0,867
cmpl-22e4cd8a027441c7826243db43ddf4a8,prefill,22.9731125831604,23.01375126838684,5161,0
cmpl-22e4cd8a027441c7826243db43ddf4a8,decode,23.01375126838684,24.66550350189209,0,491
cmpl-2c866acc630c41ec9aca80fdf2a9db25,prefill,21.6224627494812,21.66859722137451,7168,0
cmpl-2c866acc630c41ec9aca80fdf2a9db25,decode,21.66859722137451,25.10977339744568,0,1024
cmpl-29c6af7d715745e5b194538ade237361,prefill,24.321077585220337,24.360391855239868,5262,0
cmpl-29c6af7d715745e5b194538ade237361,decode,24.360391855239868,27.73403286933899,0,1024
cmpl-63fb1c28de3941839e6e48cc6bb2357f,prefill,27.015745162963867,27.0497829914093,4508,0
cmpl-63fb1c28de3941839e6e48cc6bb2357f,decode,27.0497829914093,28.54952907562256,0,453
cmpl-a48c9124cea546caab429e3ae16df4aa,prefill,25.668087005615234,25.68876838684082,2597,0
cmpl-a48c9124cea546caab429e3ae16df4aa,decode,25.68876838684082,29.042054891586304,0,1024
cmpl-5b777aad26904d46b88e74e6cf089020,prefill,29.721346378326416,29.766090869903564,4654,0
cmpl-5b777aad26904d46b88e74e6cf089020,decode,29.766090869903564,32.914838552474976,0,979
cmpl-a9c9a130c56d4db2aa3de274fb8bb3da,prefill,31.07322072982788,31.093698978424072,3195,0
cmpl-a9c9a130c56d4db2aa3de274fb8bb3da,decode,31.093698978424072,34.38855576515198,0,1024
cmpl-6bc6a02cabb1416284e1f6c19a316861,prefill,32.416149854660034,32.42090678215027,2,0
cmpl-6bc6a02cabb1416284e1f6c19a316861,decode,32.42090678215027,35.58767318725586,0,1001
cmpl-285e2db504064dd1a3d85380ccaa8cf0,prefill,38.188628911972046,38.19352579116821,257,0
cmpl-285e2db504064dd1a3d85380ccaa8cf0,decode,38.19352579116821,39.96680927276611,0,566
